TOKEN|MORPH ANALYSIS|UPOS
ukukhuthaza|u-ku-khuthaz-a|V
nokwamukela|n-uku-amukel-a|V
ukwahlukahlukana|u-ku-ahlukahluk-an-a|V
kungokuzibekela|ku-nga-u-ku-zibekela|N
indima|i-n-dima|N
,|,|PUNC
noma|noma|CONJ
ukufunda|u-ku-fund-a|V
ukuthatha|u-ku-thath-a|V
njengento|njenga-i-n-tho|ADV
ebalulekile|e-balulek-il-e|REL
ukwahluka|u-ku-ahluk-a|V
kwabantu|kwa-a-ba-ntu|POSS
kodwa|kodwa|CONJ
kudinga|ku-ding-a|V
ukwakha|u-ku-akh-a|V
ukwamukela|u-ku-amuk-el-a|V
nokukhuthaza|na-u-ku-khuthaz-a|ADV
ukubekezelelana|u-ku-bekezel-el-an-a|V
kanye|ka-nye|ADV
nenhlonipho|na-i-n-hlonipho|ADV
.|.|PUNC

Funda|fund-a|V
isifundo|i-si-fundo|N
sokubonakalayo|sa-u-ku-bon-akal-a-yo|POSS
kwiSahluko|ku-i-si-ahluko|N
5|5|NUM
,|,|PUNC
5.6|5.6|NUM
ebese|ebese|CONJ
nikhombisa|ni-khombis-a|V
eqenjini|e-qembu-ini|N
lenu|le-nu|POSS
ukuthi|ukuthi|CONJ
ningabhekana|ni-nga-bhek-an-a|V
kanjani|ka-njani|ADV
nesigaba|na-i-si-gaba|ADV
ngasinye|nga-si-nye|ADV
.|.|PUNC

Ababambe|aba-bamb-e|REL
iqhaza|i-li-qhaza|N
babheka|ba-bhek-a|V
umdwebo|U-m-dwebo|N
osekhasini|o-s-e-khasi-ini|REL
15|15|NUM
obheke|o-bhek-e|V
isigaba|i-si-gaba|N
ngasinye|nga-si-nye|ADV
senqubo|s-i-n-qubo|POSS
yokuxhumana|yo-ku-xhuman-a|POSS
.|.|PUNC

Amakomidi|a-ma-komidi|N
Esigceme|esi-gceme|REL
kufanele|ku-fan-el-e|V
enziwe|a-enz-iw-e|V
ngamalungu|nga-a-ma-lungu|ADV
akhethiwe|a-kheth-iw-e|V
angeqile|a-nge-qil-e|COP
kwayi-10|kwa-y-i-10|POSS
amele|a-mel-e|V
izimfuno|i-zi-mfuno|N
ezahlukahlukene|ezi-ahlukahluk-en-e|REL
emphakathini|e-mu-phakathi-ini|N
.|.|PUNC
Umkhandlu|u-mu-khandlu|N
ngamunye|nga-mu-nye|ADV
wenza|u-enz-a|V
imigomo|i-mi-gomo|N
yokukhetha|ya-uku-kheth-a|POSS
amalungu|a-ma-lungu|N
eKomidi|e-komidi|N
Lesigceme|le-sigceme|CDEM
.|.|PUNC
Kodwa-ke|kodwa-ke|ADV
,|,|PUNC
amalungu|a-ma-lungu|N
ayakhethwa|a-ya-kheth-w-a|V
,|,|PUNC
ngisho|ngi-sh-o|COP
noma|noma|CONJ
kuthiwa|ku-th-iw-a|V
ngebhalothi|nga-ibhalothi|ADV
emhlanganweni|e-u-mu-hlangano-ini|N
womphakathi|wa-u-mu-phakathi|POSS
,|,|PUNC
noma|noma|CONJ
ngokuphakamisa|nga-u-ku-phakamis-a|ADV
isandla|i-si-sandla|N
noma|noma|CONJ
ngokuvumelana|nga-u-ku-vumelan-a|ADV
,|,|PUNC
kufanele|ku-fan-el-e|V
kuvunyelwane|ku-vunyelwane|N
nabo|na-bo|ADV
bonke|bo-nke|PRO
ababambe|aba-bamb-e|REL
iqhaza|i-li-qhaza|N
futhi|futhi|CONJ
imibiko|i-mi-biko|N
ecacile|e-cac-il-e|REL
yenqubo|ya-i-n-nqubo|POSS
kufanele|ku-fan-el-e|V
itholwe|i-thol-w-e|V
yiwo|y-iwo|COP
wonke|wo-nke|PRO
umuntu|u-mu-ntu|N
uma|uma|CONJ
beyidinga|ba-yi-ding-a|POSS
.|.|PUNC
Amalungu|a-ma-lungu|N
eKomidi|e-komidi|N
Lesigceme|le-sigceme|CDEM
kufanele|ku-fan-el-e|V
abe|a-be|V
ngabavoti|nga-a-ba-voti|ADV
ababhalisiwe|aba-bhal-is-iw-e|REL
futhi|futhi|CONJ
kufanele|ku-fan-el-e|V
abe|a-be|V
ngabazimisele|nga-ba-zi-mis-el-e|ADV
,|,|PUNC
abathembekile|aba-themb-ek-il-e|REL
nabahlonishwa|na-ba-hlonishwa|ADV
ngumphakathi|ng-u-m-phakathi|COP
neqembu|na-i-li-qembu|ADV
elithile|eli-thile|REL
alimele|a-li-mel-e|REL
.|.|PUNC

Abagqugquzeli|a-ba-gqugquzeli|N
bezigceme|ba-i-zi-gceme|POSS
-|-|PUNC
abangathathwa|aba-nga-thath-w-a|REL
emalungeni|e-ma-lunga-ini|N
aqokiweyo|a-qok-iw-e-yo|REL
ekomidi|e-komidi|POSS
lesigceme|la-i-si-gceme|POSS
noma|noma|CONJ
kube|ku-be|V
ngamalungu|ng-a-ma-lungu|COP
ahlonishwayo|a-hloniph-w-a-yo|REL
omphakathi|o-mu-phakathi|REL
njengamavolontiya|njenga-a-ma-volontiya|ADV
abaholi|a-ba-holi|N
bezenkolo|ba-i-za-i-n-kolo|POSS
nabaholi|na-a-ba-holi|ADV
abayizibonelo|aba-y-i-zi-bonelo|REL
emphakathini|e-mu-phakathi-ini|N
,|,|PUNC
noma|noma|CONJ
kube|ku-be|V
ngabantu|ng-a-ba-ntu|COP
abanolwazi|aba-na-u-lu-azi|REL
emphakathini|e-mu-phakathi-ini|N
njengabantu|njenga-a-ba-ntu|ADV
asebethathe|a-se-be-thath-e|REL
umhlalaphansi|u-m-hlalaphansi|N
,|,|PUNC
othisha|o-thisha|N
,|,|PUNC
umholi|u-m-holi|N
wabesifazane|wa-a-be-si-fazane|POSS
,|,|PUNC
njll|njll|ABBR
.|.|PUNC
Kuzo|ku-zo|PRO
zonke|zo-nke|PRO
lezi|lezi|CDEM
zinhlobo|zin-hlobo|N
zabantu|za-a-ba-ntu|POSS
kumele|ku-mel-e|V
kube|ku-be|V
ngabantu|ng-a-ba-ntu|COP
abanomdlandla|aba-na-m-dlandla|REL
nabanentshisekelo|na-a-ba-na-i-ntshisekelo|ADV
yokusiza|ya-ku-siz-a|POSS
ekwenzeni|e-ku-enza-ini|N
nasekusebenzeni|na-s-e-ku-sebenza-ini|ADV
kwezinhlelo|kwa-i-zin-hlelo|POSS
zomphakathi|za-u-mu-phakathi|POSS
.|.|PUNC

Emsebenzini|e-mu-sebenzi-ini|N
olandelayo|o-landel-a-yo|V
lokho|lokho|CDEM
izinhlobo|i-zin-hlobo|N
zabantu|za-a-ba-ntu|POSS
ngokwenhlalo|nga-u-kwe-n-hlalo|ADV
ezifisa|ezi-fis-a|REL
ukuba|ukuba|CONJ
kwenzeke|ku-enz-ek-e|V
kwengezwa|kw-engez-w-a|V
ekuhlaziyeni|e-ku-hlaziy-a-ini|V
okubizwa|oku-biz-w-a|REL
nge-SWOT|nga-i-SWOT|ADV
kuzo|ku-zo|PRO
zonke|zo-nke|PRO
izinhlobo|i-zin-hlobo|N
zabantu|za-a-ba-ntu|POSS
ngokwenhlalo|nga-u-kwe-n-hlalo|ADV
,|,|PUNC
ukwakha|u-ku-akh-a|V
isithombe|i-si-thombe|N
ngokubanzi|nga-u-ku-banzi|ADV
ngomphakathi|nga-u-m-phakathi|ADV
.|.|PUNC
Lokhu|lokhu|CDEM
kusiza|ku-siz-a|V
ekuqhakambiseni|e-ku-qhakamb-is-en-i|V
okusemqoka|oku-s-e-m-qoka|REL
okufiswayo|oku-fis-w-a-yo|REL
.|.|PUNC

Kudingeka|ku-ding-ek-a|V
isikhathi|i-si-khathi|N
esingakanani|esi-nga-ka-nani|REL
ukuqeda|u-ku-qed-a|V
izinhlelo|i-zin-hlelo|N
kanye|ka-nye|ADV
nemikhankaso|na-i-mi-khankaso|ADV
ezigcemeni|ezi-gceme-ini|REL
zawo|za-wo|POSS
?|?|PUNC

Imfundo|i-n-fundo|N
ephakeme|e-phakam-il-e|REL
.|.|PUNC
Ukusebenza|u-ku-sebenz-a|V
kwezikhungo|kwa-i-zi-khungo|POSS
ezikhona|ezi-khona|REL
kusuka|ku-suk-a|V
ezingeni|e-zinga-ini|N
lomhlaba|lwa-u-mu-hlaba|POSS
kuye|ku-ye|PRO
ezingeni|e-zinga-ini|N
elilingene|eli-lingene|REL
nje|nje|ADV
.|.|PUNC
Ukuthuthuka|u-ku-thuthuka|N
okuqhubekayo|oku-qhubek-a-yo|REL
kwezinga|kwa-i-li-zinga|POSS
kuyadingeka|ku-nga-ding-ek-a|V
njengoba|njengoba|CONJ
inqubo|i-n-qubo|N
yokusebenza|ya-u-ku-sebenz-a|POSS
ikhula|i-khul-a|V
ngesivinini|nga-i-si-vinini|ADV
esikahle|esi-ka-hle|REL
nje|nje|ADV
.|.|PUNC
Inselelo|i-n-selelo|N
enkulu|en-khulu|ADJ
ukuthi|ukuthi|CONJ
izinga|i-li-zinga|N
eliphansi|eli-phansi|REL
lemfundo|la-i-n-fundo|POSS
yasesikoleni|ya-s-e-si-kole-ini|POSS
kukhulisa|ku-khul-is-a|V
izindleko|i-zin-dleko|N
zokukhiqiza|za-uku-khiqiz-a|POSS
abaneziqu|aba-na-i-zi-qu|REL
zemfundo|za-i-n-fundo|POSS
ephakeme|e-phakam-e|REL
,|,|PUNC
futhi|futhi|CONJ
liphansi|li-phansi|ADV
izinga|i-li-zinga|N
labafundi|la-a-ba-fundi|POSS
abamnyama|aba-mnyama|REL
abathola|aba-thol-a|REL
iziqu|i-zi-qu|N
zasemayunivesithi|za-s-e-ma-yunivesithi|POSS
.|.|PUNC
Izilinganiso|i-zi-linganiso|N
zokubamba|za-uku-bamb-a|POSS
iqhaza|i-li-qhaza|N
nokuthweswa|no-ku-thwes-w-a|ADV
kweziqu|kwa-i-zi-qu|POSS
,|,|PUNC
okunokukhetha|oku-no-ku-kheth-a|REL
iziqu|i-zi-qu|N
zaseyunivesithi|za-s-e-yunivesithi|POSS
zeminyaka|ze-i-mi-nyaka|POSS
emine|emi-ne|ADJ
,|,|PUNC
kuhlanganiswa|ku-hlanganiswa|N
nezifundo|na-i-zi-fundo|ADV
zokulungiselela|zo-ku-lungis-el-iw-a|POSS
ukungena|u-ku-ngen-a|V
eyunivesithi|e-yunivesithi|N
noxhaso|na-xhaso|ADV
olwengeziwe|olu-engez-iw-e|REL
lwaseyunivesithi|lwa-s-e-yunivesithi|POSS
lokusiza|lwa-u-ku-siz-a|POSS
abafundi|a-ba-fundi|N
abamnyama|aba-mnyama|REL
ababencishwe|aba-be-ncish-w-e|REL
amathuba|a-ma-thuba|N
,|,|PUNC
kungase|ku-nga-se|N
kube|ku-b-e|V
nemiphumela|na-i-mi-phumela|ADV
emihle|emi-hle|ADJ
.|.|PUNC

IKomidi|i-komidi|N
Lesigceme|le-sigceme|CDEM
lidinga|li-ding-a|V
ukuba|ukuba|CONJ
nohlelo|na-u-lu-hlelo|ADV
lonyaka|lo-nyaka|CDEM
olubeka|olu-bek-a|REL
ngokucacile|nga-u-ku-cac-ile|ADV
ukuthi|ukuthi|CONJ
yimiphi|yi-mi-phi|COP
imisebenzi|i-mi-sebenzi|N
yalo|ya-lo|POSS
ebalulekile|e-balulek-il-e|REL
nokuthi|na-ku-th-i|ADV
lilindele|li-lindele|N
ukufezani|u-ku-fezani|N
.|.|PUNC
Lokhu|lokhu|CDEM
kuyosiza|ku-yo-siz-a|N
iKomidi|i-Komidi|N
Lesigceme|le-sigceme|CDEM
ukubona|u-ku-bon-a|V
ukuthi|ukuthi|CONJ
ngabe|ngabe|CONJ
likufezile|li-kufezile|N
yini|yini|INT
lokho|lokho|CDEM
elathi|e-la-thi|N
lizokufeza|li-zoku-fez-a|V
.|.|PUNC
Kuyophinda|ku-yo-phind-a|N
kusize|ku-siz-e|V
iKomidi|i-Komidi|N
Lesigceme|le-sigceme|CDEM
ukuthi|ukuthi|CONJ
libike|li-bik-e|V
kumasipala|ku-masipala|N
,|,|PUNC
njengoba|njengoba|CONJ
lingabika|li-nga-bik-a|V
inyanga|i-n-nyanga|N
ngayinye|nga-yi-nye|ADV
ngokuqhathanisa|nga-u-ku-qhathanis-a|ADV
nohlelo|na-u-lu-hlelo|ADV
lwalo|lwa-lo|POSS
lokusebenza|lwa-u-ku-sebenz-a|POSS
.|.|PUNC

Uma|uma|CONJ
usebenzisa|u-sebenz-is-a|V
izinto|i-zin-nto|N
zokwethula|za-u-kwe-thul-a|POSS
inkulumo|i-n-kulumo|N
njenge-overhead|njenga-overhead|ADV
,|,|PUNC
ishadi|i-shadi|N
,|,|PUNC
kusebenzise|ku-sebenz-is-e|V
lokhu|lokhu|CDEM
ukuzilungiselela|u-ku-zi-lungis-elel-a|V
ngaphambi|nga-phambi|ADV
kwesikhathi|kwa-i-si-khathi|POSS
.|.|PUNC

Ukuhlela|u-ku-hlela|N
-|-|PUNC
Ikomiti|i-komiti|N
Lewadi|le-wadi|CDEM
lisebenzisana|li-sebenz-is-an-a|V
nekhansela|na-i-li-khansela|ADV
yewadi|ya-i-wadi|POSS
ukutomula|u-ku-tomula|N
izidingo|i-zi-dingo|N
bese|be-se|V
baqiniseka|ba-qinis-ek-a|V
ukuthi|ukuthi|CONJ
lezo|lezo|CDEM
zidingo|zi-dingo|N
ziyafakwa|zi-ya-fak-w-a|V
kwibhajethi|ku-i-bhajethi|N
kanye|kanye|CONJ
nemisebenzi|na-i-mi-sebenzi|ADV
ehlongoziwe|e-hlongoz-iw-e|V
.|.|PUNC
Ikomiti|i-komiti|N
Lewadi|le-wadi|CDEM
kudingeka|ku-ding-ek-a|V
ukuba|ukuba|CONJ
libe|li-b-e|V
ngohlelo|nga-u-lu-hlelo|ADV
wenyaka|wa-i-nyaka|POSS
obonisa|o-bon-is-a|REL
ngokucacile|nga-u-ku-cac-ile|ADV
ukuthi|ukuthi|CONJ
yini|yini|INT
izidingo|i-zi-dingo|N
futhi|futhi|CONJ
kufanele|ku-fan-el-e|V
zifezwe|zi-fez-w-e|V
kanjani|ka-njani|ADV
.|.|PUNC
Loku|loku|CDEM
kuzosiza|ku-zo-siz-a|V
Ikomiti|i-komiti|N
Lewadi|le-wadi|CDEM
ukuhlola|u-ku-hlol-a|V
ukuthi|ukuthi|CONJ
liphumelele|li-phumelel-e|V
yini|yini|INT
ukufeza|u-ku-fez-a|V
izinjongo|i-zin-jongo|N
zabo|za-bo|POSS
.|.|PUNC
Izosiza|i-zo-siz-a|V
futhi|futhi|CONJ
Ikomiti|i-komiti|N
Lewadi|le-wadi|CDEM
uma|uma|CONJ
litshela|li-tshel-a|V
umasipala|u-masipala|N
,|,|PUNC
ngoba|ngoba|CONJ
lingabatshela|li-nga-ba-tshela|N
njalo|njalo|ADV
ngenyanga|nga-i-n-nyanga|ADV
libheke|li-bhek-e|V
uhlu|u-lu-hlu|N
labo|labo|CDEM
lokusebenza|lwa-u-ku-sebenz-a|POSS
.|.|PUNC
Umbono|u-m-bono|N
omuhle|omu-hle|ADJ
wokuthi|wa-u-ku-th-i|POSS
Ikomiti|i-komiti|N
Lewadi|le-wadi|CDEM
lihlelele|li-hlelele|N
umhlangano|u-mu-hlangano|N
obalulekile|o-balulek-il-e|REL
ngakuphazima|nga-ku-phazima|ADV
kweso|kwa-i-li-so|POSS
ukuhlela|u-ku-hlel-a|V
uhlelo|u-lu-hlelo|N
lokusebenza|lwa-u-ku-sebenz-a|POSS
lonyaka|lo-u-nyaka|PRO
.|.|PUNC
Amalungu|a-ma-lungu|N
ekomiti|e-komiti|N
lewadi|le-wadi|POSS
kufanele|ku-fan-el-e|V
benze|ba-enz-e|V
uhlelo|u-lu-hlelo|N
lwabo|lwa-bo|POSS
licace|li-cac-e|V
futhi|futhi|CONJ
likwazi|li-ku-az-i|V
ukufezeka|u-ku-fez-ek-a|V
.|.|PUNC

Lolu|lolu|CDEM
hlelo|hlelo|N
luyithuluzi|lu-y-i-thuluzi|N
elinqumayo|eli-nqum-a-yo|REL
ukuthi|ukuthi|CONJ
umphakathi|u-m-phakathi|ADV
ufisa|u-fis-a|V
ukubhekaphi|u-ku-bhek-a-phi|V
,|,|PUNC
ekwenzeni|e-ku-enz-a-ini|V
iziphakamiso|i-zi-phakamiso|N
ohlelweni|o-hlelo-ini|N
lwe-IDP|lwa-i-IDP|POSS
,|,|PUNC
ekulandeleni|e-ku-landel-a-ini|V
inqubekelaphambili|i-n-qubekelaphambili|N
ekusetshenzisweni|e-ku-sebenz-is-w-a-ini|V
kohlelo|kwa-u-hlelo|POSS
,|,|PUNC
futhi|futhi|CONJ
lungafakelwa|lu-nga-fak-el-w-a|V
ulwazi|u-lu-azi|N
olusha|olu-sha|REL
njalo|njalo|ADV
ngonyaka|nga-u-nyaka|ADV
ngesikhathi|nga-i-si-khathi|ADV
izinhlelo|i-zin-hlelo|N
ziqhubekela|zi-qhubek-el-a|V
phambili|phambili|ADV
,|,|PUNC
kuvela|ku-vel-a|V
nezinto|na-i-zi-nto|ADV
ezintsha|ezin-sha|ADJ
ezisemqoka|ezi-s-e-m-qoka|REL
.|.|PUNC
Ngesikhathi|nga-i-si-khathi|ADV
kwenziwa|ku-enz-iw-a|V
uhlelo|u-hlelo|N
,|,|PUNC
kungaphuculwa|ku-nga-phucul-w-a|V
nobunikazi|na-u-bu-nikazi|ADV
ngokunaka|nga-u-ku-nak-a|ADV
ukuthi|ukuthi|CONJ
yiziphi|yi-zi-phi|COP
yiziphi|yi-zi-phi|COP
izindlela|i-zin-dlela|N
okuqukethwe|oku-qukath-w-il-e|REL
okungaziswa|oku-nga-az-is-w-a|REL
ngazo|nga-zo|ADV
amaqembu|a-ma-qembu|N
omphakathi|o-m-phakathi|REL
ngokubanzi|nga-u-ku-banzi|ADV
,|,|PUNC
okuhlanganisa|oku-hlangan-is-a|REL
amaqoqa|a-ma-qoqa|N
ezilimi|ezi-limi|REL
zendawo|za-n-dawo|POSS
,|,|PUNC
izingqwembe|i-zin-gqwembe|N
nedrama|na-i-drama|ADV
.|.|PUNC
Lokhu|lokhu|CDEM
kumele|ku-mel-e|V
kuxoxwe|ku-xox-w-e|V
ngakho|ngakho|ADV
emhlanganweni|e-m-hlangano-ini|N
womphakathi|wa-u-mu-phakathi|POSS
wokuphothula|wa-u-ku-phothul-a|POSS
.|.|PUNC
Kusemqoka|ku-s-e-m-qoka|N
ukuqikelela|u-ku-qikelel-a|V
ukuthi|ukuthi|CONJ
izinto|i-zi-nto|N
ezisemqoka|ezi-s-e-m-qoka|REL
ezinjengombono|ezi-njenga-u-m-bono|REL
nezinhloso|na-i-zin-hloso|ADV
kuhunyushelwa|ku-humush-el-w-a|V
olimini|o-limi-ini|N
lwabantu|lwa-ba-ntu|POSS
endaweni|e-n-dawo-ini|N
.|.|PUNC

Ukuguqula|u-ku-guqul-a|V
umnotho|u-mnotho|N
kuphinde|ku-phind-e|V
kusho|ku-sh-o|V
ukuguqula|u-ku-guqul-a|V
izindlela|i-zin-dlela|N
zobunikazi|za-u-bu-nikazi|POSS
nokulawula|na-u-ku-lawul-a|ADV
.|.|PUNC
Kuze|kuze|CONJ
kube|kube|ADV
manje|manje|ADV
,|,|PUNC
imizamo|i-mi-zamo|N
yokudlulisela|ya-u-ku-dlul-is-el-a|POSS
ubunikazi|u-bu-nikazi|N
bempahla|ba-i-m-pahla|POSS
yokukhiqiza|ya-u-ku-khiqiz-a|POSS
ayikakabi|a-yi-ka-ka-bi|V
nemiphumela|na-i-mi-phumela|ADV
edingekayo|e-ding-ek-a-yo|REL
,|,|PUNC
kanti|kanti|CONJ
izinhlelo|i-zin-hlelo|N
zokwabelana|za-u-ku-ab-el-an-a|POSS
kwabaqashwa|kwa-a-ba-qash-w-a|POSS
ngobunikazi|nga-u-bu-nikazi|ADV
bamasheya|ba-a-ma-sheya|POSS
zibamba|zi-bamb-a|V
iqhaza|i-li-qhaza|N
elingabalulekanga|eli-nga-balulek-anga|REL
.|.|PUNC
Indlela|i-n-dlela|N
eqinile|e-qin-ile|REL
nokuhlosiwe|na-u-ku-hlos-iw-e|ADV
okucacile|oku-cac-il-e|REL
kuyadingeka|ku-ya-ding-ek-a|V
.|.|PUNC
Izinsizakusebenza|i-zin-sizakusebenza|N
zenqubomgomo|za-i-n-qubomgomo|POSS
ukukhuthaza|u-ku-khuthaz-a|V
umkhakha|u-mu-khakha|N
ozimele|o-zi-mel-e|REL
ukuthi|ukuthi|CONJ
uguqule|u-guqul-e|V
izindlela|i-zin-dlela|N
zobunikazi|za-u-bu-nikazi|POSS
kubandakanya|ku-bandakany-a|V
amakhadi|a-ma-khadi|N
okuzithandela|oku-zi-thand-el-a|REL
okubheka|oku-bhek-a|REL
izinga|i-zinga|N
lokwenziwa|la-u-ku-enz-iw-a|POSS
komsebenzi|kwa-u-mu-sebenzi|POSS
,|,|PUNC
imithetho|i-mi-thetho|N
yokuthenga|ya-ku-theng-a|POSS
impahla|i-m-pahla|N
nemisebenzi|na-i-mi-sebenzi|ADV
,|,|PUNC
ukuhlelwa|u-ku-hlel-w-a|V
kwezincwadi|kwa-i-zi-ncwadi|POSS
zemvume|za-i-mvume|POSS
(|(|PUNC
okufana|oku-fan-a|REL
nezokuxhumana|na-i-zo-ku-xhuman-a|ADV
ngocingo|nga-u-cingo|ADV
nezimayini|na-i-zi-mayini|ADV
)|)|PUNC
nezimali|na-i-zi-mali|ADV
zezentuthuko|za-za-n-tuthuko|POSS
.|.|PUNC

Amakhono|a-ma-khono|N
esikhungo|esi-khungo|REL
abalulekile|a-balulek-il-e|REL
empumelelweni|e-m-pumelelo-ini|N
yale|ya-le|POSS
ndlela|n-dlela|N
,|,|PUNC
okubandakanya|oku-bandakany-a|REL
izinguquko|i-zin-guquko|N
ukubhekana|u-ku-bhek-an-a|V
nobudlelwane|na-u-bu-dlelwane|ADV
obubangwayo|obu-bang-w-a-yo|REL
phakathi|phakathi|ADV
kwezinhlangano|kwa-i-zin-hlangano|POSS
zomdabu|za-u-m-dabu|POSS
nezigunyazwa|na-i-zi-gunyaz-w-a|ADV
ngumthethosisekelo|ng-u-mu-thethosisekelo|COP
.|.|PUNC

Kungabe|kungabe|CONJ
uhlu|u-hlu|N
lokubheka|la-u-ku-bhek-a|POSS
ukulinganisa|u-ku-lingan-is-a|V
(|(|PUNC
kanye|kanye|CONJ
nokuhlola|na-u-ku-hlol-a|ADV
)|)|PUNC
lihlanganisa|li-hlangan-is-a|V
izidingo|i-zi-dingo|N
zokuhlukaniswa|za-u-ku-hluk-an-is-w-a|POSS
kobulili|kwa-u-bu-lili|POSS
ezicacile|ezi-cac-il-e|REL
kanye|kanye|CONJ
nolwazi|na-u-lu-azi|ADV
lokuhlukaniswa|la-u-ku-hluk-an-is-w-a|POSS
kobulili|kwa-u-bu-lili|POSS
?|?|PUNC

Ukunciphisa|u-ku-nciph-is-a|V
izindleko|i-zin-dleko|N
zokuphila|za-u-ku-phil-a|POSS
emakhaya|e-ma-khaya|N
ahola|a-hol-a|V
kancane|ka-ncane|ADV
nabantu|na-a-ba-ntu|ADV
abasebenzayo|aba-sebenz-a-yo|REL
.|.|PUNC
Ukungalingani|u-ku-nga-lingan-i|V
nobuphofu|na-u-bu-phofu|ADV
kungabhekanwa|ku-nga-bhek-an-w-a|V
nakho|na-kho|ADV
ngokukhuphula|nga-u-ku-khuphul-a|ADV
imiholo|i-mi-holo|N
ngokukhula|nga-u-ku-khul-a|ADV
kwemikhiqizo|kwa-i-mi-khiqizo|POSS
nokwehlisa|na-u-ku-ehl-is-a|ADV
izindleko|i-zin-dleko|N
zokuphila|za-u-ku-phil-a|POSS
.|.|PUNC
Ukuzibophezela|u-ku-zi-bophezel-a|V
ezingeni|e-zinga-ini|N
elikahle|eli-ka-hle|REL
lokuphila|la-u-ku-phil-a|POSS
kuyoqinisekisa|ku-yo-qinis-ek-is-a|V
ukuthi|ukuthi|CONJ
wonke|wo-nke|PRO
amakhaya|a-ma-khaya|N
ayobamba|a-yo-bamb-a|V
iqhaza|i-li-qhaza|N
ngokuzwakalayo|ng-oku-zw-akal-a-yo|COP
emnothweni|e-mnotho-ini|N
.|.|PUNC
Izindleko|i-zin-dleko|N
zokudla|za-u-ku-dl-a|POSS
,|,|PUNC
ezokuthutha|e-za-u-ku-thuth-a|REL
nezezindlu|na-i-za-izi-ndlu|ADV
kumele|ku-mel-e|V
zincishiswe|zi-ncish-is-w-e|V
ngesikhathi|nga-i-si-khathi|ADV
kukhushulwa|ku-khuphul-w-a|V
izinga|i-zinga|N
lemfundo|la-i-mfundo|POSS
nokunakekelwa|na-u-ku-nakekel-w-a|ADV
kwezempilo|kwa-i-zi-m-philo|POSS
kwamahhala|kwa-a-ma-hhala|POSS
noma|noma|CONJ
okubiza|oku-biz-a|REL
kancane|ka-ncane|ADV
.|.|PUNC

Ikomiti|i-komiti|N
Lewadi|le-wadi|CDEM
lingaqamba|li-nga-qamba|N
ikomiti|i-komiti|N
elincane|eli-ncane|ADJ
elilodwa|eli-lo-dwa|REL
noma|noma|CONJ
amabili|ama-bili|ADJ
bese|be-se|V
lifake|li-fake|N
izinhlangano|i-zin-hlangano|N
zomphakathi|zo-u-mu-phakathi|POSS
kulawo|ku-lawo|CDEM
makomiti|ma-komiti|N
amancane|ama-ncane|ADJ
.|.|PUNC
Bonke|bo-nke|PRO
abahlanganyeli|a-ba-hlanganyeli|N
bewadi|ba-i-wadi|POSS
kufanele|ku-fan-el-e|V
bagqugquzelwe|ba-gqugquzel-w-e|POSS
ukuzibandakanya|u-ku-zibandakany-a|V
kumakomiti|ku-ma-komiti|N
amancane|ama-ncane|ADJ
ahambelana|a-hamb-el-an-a|V
nomkhakha|na-u-m-khakha|ADV
waloko|wa-aloko|POSS
abakukhonzile|aba-ku-khonz-ile|REL
.|.|PUNC

Indlela|i-n-dlela|N
esuselwa|e-sus-el-w-a|V
kulokho|ku-lokho|CDEM
okungamandla|oku-nga-a-ma-ndla|REL
iyagudluka|iya-gudluka|N
ekuhleleni|e-u-ku-hlel-a-ini|V
okususelwa|oku-sus-el-w-a|REL
ezinkingeni|ezi-n-khinga-ini|REL
,|,|PUNC
okuyindlela|oku-y-i-n-dlela|REL
egxile|igxile|N
ezihibeni|ezi-hiba-eni|REL
,|,|PUNC
futhi|futhi|CONJ
yona|yona|PRO
iyindlela|i-y-i-n-dlela|N
egxile|igxile|N
embonweni|e-mbono-ini|N
ngokubheka|nga-u-ku-bhek-a|ADV
lapho|lapho|CDEM
umphakathi|u-mu-phakathi|N
ofisa|o-fis-a|REL
ukuba|ukuba|CONJ
khona|khona|PRO
nokuthi|na-ku-th-i|ADV
uzofinyelela|uzo-finyelela|N
kanjani|ka-njani|ADV
lapho|lapho|CONJ
.|.|PUNC

Uhlelo|u-lu-hlelo|N
Lwezentuthuko|lwe-ze-n-tuthuko|POSS
Edidiyelwe|e-didiyel-w-e|REL
(|(|PUNC
IDP|IDP|ABBR
)|)|PUNC
luhlonza|lu-hlonz-a|V
izinjongo|i-zin-jongo|N
zikamasipala|zi-ka-masipala|POSS
kanti|kanti|CONJ
namaphrojekthi|na-a-ma-phrojekthi|COP
azokwenziwa|a-zok-w-enz-iw-a|V
alungiselwa|a-lungis-el-w-a|V
uhlelo|u-lu-hlelo|N
.|.|PUNC
Esikhathini|esi-khathi-ini|REL
esiningi|esi-ningi|ADJ
ngendlela|nga-i-n-dlela|ADV
efanayo|e-fan-a-yo|REL
,|,|PUNC
uhlelo|u-lu-hlelo|N
lwesigceme|lwe-si-gceme|POSS
luyovama|lu-yo-vam-a|V
ukuhlinzeka|u-ku-hlinzek-a|V
ngezidingo|nga-i-zi-dingo|ADV
zamaphrojekthi|za-ma-phrojekthi|POSS
akhethwa|a-kheth-w-a|V
yiKomidi|yi-i-komidi|N
Lesigceme|le-sigceme|CDEM
.|.|PUNC

Ukuvikelwa|u-ku-vikelwa|N
